url,category,raw_html_chars,raw_html_tokens,anno_chars,anno_tokens,reduction_pct,status,error
"https://www.bbc.com/news",news-homepage,345596,86399,3222,806,99.1,ok,""
"https://www.reuters.com/technology/",news-section,447262,111816,43,11,100.0,ok,""
"https://www.npr.org/sections/science/",news-section,295130,73783,10141,2536,96.6,ok,""
"https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide/Functions",docs,218726,54682,7698,1925,96.5,ok,""
"https://docs.python.org/3/tutorial/datastructures.html",docs,100009,25003,7432,1858,92.6,ok,""
"https://expressjs.com/en/guide/routing.html",docs,83338,20835,7144,1786,91.4,ok,""
"https://en.wikipedia.org/wiki/Artificial_intelligence",wiki,1213810,303453,11224,2806,99.1,ok,""
"https://en.wikipedia.org/wiki/TypeScript",wiki,275222,68806,10778,2695,96.1,ok,""
"https://stackoverflow.com/questions/11227809/why-is-processing-a-sorted-array-faster-than-processing-an-unsorted-array",forum,1151381,287846,6644,1661,99.4,ok,""
"https://news.ycombinator.com/",forum,35026,8757,99,25,99.7,ok,""
"https://blog.pragmaticengineer.com/",blog,52533,13134,1784,446,96.6,ok,""
"https://martinfowler.com/articles/microservices.html",blog,86040,21510,10586,2647,87.7,ok,""
"https://www.w3schools.com/js/js_functions.asp",reference,374220,93555,930,233,99.8,ok,""
"https://www.rust-lang.org/",homepage,18459,4615,3082,771,83.3,ok,""
"https://sqlite.org/whentouse.html",docs,21223,5306,11559,2890,45.5,ok,""
"https://www.joelonsoftware.com/2000/08/09/the-joel-test-12-steps-to-better-code/",blog,70622,17656,8365,2092,88.2,ok,""
"https://en.wikipedia.org/wiki/List_of_programming_languages",tables,172341,43086,5216,1304,97.0,ok,""
"https://en.wikipedia.org/wiki/Comparison_of_web_browsers",tables,1167372,291843,3165,792,99.7,ok,""
"https://www.postgresql.org/docs/current/tutorial-select.html",docs,19609,4903,2137,535,89.1,ok,""
"https://redis.io/docs/latest/get-started/",docs,103239,25810,3023,756,97.1,ok,""
